id,prompt_tokens,completion_tokens,total_tokens
20286401c109c4235e511bc2f0fbfbfd968e914b55e9d414ca0094fb52ca0134,1113,204,1317
2e73f1382f617c482f800a3f9fcffd85c0a85e5e759ae14b90de514ca024973a,1113,205,1318
ab33fb579672dd323965829abe23189ebab725a29e3b8b1aaf62283ca70412cf,959,214,1173
b150bf0cf4aa9d21c122d578ad0fc9eeb68a85701549dff77833dcde5befe90e,1057,219,1276
8229ba9f14044bcf516e6085c6e4c1a146f115979ff81e3eac20bc974b841e62,1040,246,1286
b3ebe4b83762258c17993ff2b99e228953c3910382e0e57b0555c77cbaee69ab,1551,210,1761
5ed45060a904ab0703e64b366adddc655392d9fa332c36ed0b5e65519445b426,1033,293,1326
552f32f223df93d921d2e62b1a03930987320c0eb286a801abf9a4cc6ec78abe,943,205,1148
4b980bcca714acb88e1bc5b492030103145560d57d023a630a190776408a3ca1,1249,364,1613
f058e5d19fb104bf5d365282d4ae9c0f2de2d9b8c2981f3986d623c6381f8ac3,931,212,1143
ce1ee4860282b3ca1dbdfcb4eb0de5d68a4df034385b5ab7ddc97eed2ff83bba,1022,249,1271
e7f6dcc1934de62af6cc29443f37833fc5f907bdc25767a9b7ffe9ddea25001d,976,291,1267
c67d7bfd6c2aeaecf05d45dd9751524b4f9968d1f62675dcf64884e2ac15fc67,1509,225,1734
7d099c7cf6c6e4d83529ef7c4dced6fd6c125b100e68e419bda702258024f23a,1113,204,1317
11b1e0846430783d50397f6f28a4273b9738f4c1d532ad3d55b5a915bc7c1d87,1131,290,1421
c7c0763d73e296aafd1ce16c115e04e5ead5f1a22dc2dabc58c553edc923794a,1681,562,2243
05e12dd324f8da9c9acb1d4b04c7cd57927b45419213258673449228d6f232f6,1352,204,1556
627d17e93b7cff8c90b6ffe5c7056e39d7e4ed00ed61c31768fca2b9b133f8ed,2365,610,2975
0cee392b37952bf0195bdd59bd6342796a50f73f6ecced3a85e0a43299b42253,1145,294,1439
146e5146d17e6cd9876775ba625daed0a4979df2dd5264b653d4d0c6e86dd0d6,971,253,1224
52b7d6f52935dda3c26f079e77eeeafca991d7831ddef2c887110ef90fe3a7eb,1132,295,1427
b37fb590bc91b38707af331d777a2c594d4c5c65a982fda4e0e72b8c51af1b4e,1007,301,1308
02aced436eb9dd946ebccbaada067c5eb01a470c4018563865b7892f523b93f1,1016,212,1228
537108a71f181a58c5becbd163d9b48cab1213720bb36a44aa85d9c53617069a,1430,421,1851
e826e374ba1fcdd623b26e0ac23023beb61b1f281f7a4c7e595435cd8ff27e61,1392,440,1832
f860f2ce0ea5802974a4077145320bbc545993763f480a8f05ea5e2a3caf41b0,1061,258,1319
e1b204103d908951ea6df3e250cabf222c791580454dc4c378e7deb4324fbf65,1069,203,1272
c0f132242de6bd19facaafcf49ec19d48a4affe9febc92e20c914f5a6312b0da,1105,203,1308
c4f7cb9b3cdb20c700b4974c849d540b7374a8710e8c3294944411439c0420a7,2391,556,2947
7d371399ca8d6152f8fd6c22ea5575744d9e6ab8d958876f8a5db90e545cd943,1142,290,1432
7a182e3c1e51c2b41a3e4f9c08dc79914fc2072dbef2b07b78964c74732c6b93,1586,612,2198
5874c5c804d41f5186b9918a9a2e6d8392145393650c636add2867a99f3dce5e,1340,203,1543
0672dd1317350802cfba384155490406650dfdf1f7534a23a5ae2fbc65ce2aab,1502,212,1714
d7dd6d10c3f8f7a9d9b132fd13d781037d3a5a0c15feb4a05b7d935c63f9ba83,1360,303,1663
8662f54933c3fa5e9dd5b05fff7664ff95ced1a1c9a4649c8aac59c623afc612,944,211,1155
19a31723dd8bfde260897dd6cc93ee4eff5c316bf371b4f4e75b1e991e6acac4,969,200,1169
4b17acaa3f371f6dc13998ae2fbfce7bc036183ca89068eb522f439b8f5a5e24,1113,205,1318
4a1f941328400c355f1f93904dfb56c5e0521f73a268512f823d4128da7a9345,1224,1025,2249
bac3abc6a0be93e8946d93e1722df3fef68cf759e8bbf9c590a7d6fb232e27fb,1092,219,1311
